id,formula,calc_type,host,solute,solute_type,total_energy
1,Sc51Ti3,surface,Sc,Ti,trimer,-311.80061084
2,Sc51V3,surface,Sc,V,trimer,-314.07567628
3,Cr3Sc51,surface,Sc,Cr,trimer,-315.89212355
4,Mn3Sc51,surface,Sc,Mn,trimer,-315.50065167
5,Fe3Sc51,surface,Sc,Fe,trimer,-313.31930985
6,Co3Sc51,surface,Sc,Co,trimer,-310.23832899
7,Ni3Sc51,surface,Sc,Ni,trimer,-307.10205652
8,Cu3Sc51,surface,Sc,Cu,trimer,-301.37618435
9,Sc51Zn3,surface,Sc,Zn,trimer,-294.72981253
10,Sc51Y3,surface,Sc,Y,trimer,-309.35201104
11,Sc51Zr3,surface,Sc,Zr,trimer,-314.57885221
12,Nb3Sc51,surface,Sc,Nb,trimer,-317.52508591
13,Mo3Sc51,surface,Sc,Mo,trimer,-319.70251253
14,Sc51Tc3,surface,Sc,Tc,trimer,-319.3338191
15,Ru3Sc51,surface,Sc,Ru,trimer,-318.8776117
16,Rh3Sc51,surface,Sc,Rh,trimer,-315.06873726
17,Pd3Sc51,surface,Sc,Pd,trimer,-309.3213071
18,Ag3Sc51,surface,Sc,Ag,trimer,-299.28464421
19,Cd3Sc51,surface,Sc,Cd,trimer,-294.03458579
20,Hf3Sc51,surface,Sc,Hf,trimer,-318.2742673
21,Sc51Ta3,surface,Sc,Ta,trimer,-322.28566995
22,Sc51W3,surface,Sc,W,trimer,-324.77395386
23,Re3Sc51,surface,Sc,Re,trimer,-324.48690669
24,Os3Sc51,surface,Sc,Os,trimer,-323.35710496
25,Ir3Sc51,surface,Sc,Ir,trimer,-320.37400904
26,Pt3Sc51,surface,Sc,Pt,trimer,-314.04949083
27,Au3Sc51,surface,Sc,Au,trimer,-303.61548521
28,Sc3Ti51,surface,Ti,Sc,trimer,-379.99700321
29,Ti51V3,surface,Ti,V,trimer,-385.92512359
30,Cr3Ti51,surface,Ti,Cr,trimer,-387.22442607
31,Mn3Ti51,surface,Ti,Mn,trimer,-386.96847736
32,Fe3Ti51,surface,Ti,Fe,trimer,-384.85963928
33,Co3Ti51,surface,Ti,Co,trimer,-381.77446957
34,Ni3Ti51,surface,Ti,Ni,trimer,-378.14033019
35,Cu3Ti51,surface,Ti,Cu,trimer,-372.55334999
36,Ti51Zn3,surface,Ti,Zn,trimer,-366.14521901
37,Ti51Y3,surface,Ti,Y,trimer,-380.42165037
38,Ti51Zr3,surface,Ti,Zr,trimer,-385.84920042
39,Nb3Ti51,surface,Ti,Nb,trimer,-389.25564143
40,Mo3Ti51,surface,Ti,Mo,trimer,-391.49789269
41,Tc3Ti51,surface,Ti,Tc,trimer,-391.83504048
42,Ru3Ti51,surface,Ti,Ru,trimer,-389.62362334
43,Rh3Ti51,surface,Ti,Rh,trimer,-385.42342988
44,Pd3Ti51,surface,Ti,Pd,trimer,-379.73460924
45,Ag3Ti51,surface,Ti,Ag,trimer,-369.97333724
46,Cd3Ti51,surface,Ti,Cd,trimer,-364.91055799
47,Hf3Ti51,surface,Ti,Hf,trimer,-389.82150934
48,Ta3Ti51,surface,Ti,Ta,trimer,-394.14208254
49,Ti51W3,surface,Ti,W,trimer,-396.45037682
50,Re3Ti51,surface,Ti,Re,trimer,-397.03621625
51,Os3Ti51,surface,Ti,Os,trimer,-395.05979565
52,Ir3Ti51,surface,Ti,Ir,trimer,-390.57828513
53,Pt3Ti51,surface,Ti,Pt,trimer,-384.04618586
54,Au3Ti51,surface,Ti,Au,trimer,-373.86359359
55,Sc3V51,surface,V,Sc,trimer,-433.85668748
56,Ti3V51,surface,V,Ti,trimer,-438.29504323
57,Cr3V51,surface,V,Cr,trimer,-442.30688995
58,Mn3V51,surface,V,Mn,trimer,-441.91612245
59,Fe3V51,surface,V,Fe,trimer,-439.96825113
60,Co3V51,surface,V,Co,trimer,-436.63691239
61,Ni3V51,surface,V,Ni,trimer,-432.43073862
62,Cu3V51,surface,V,Cu,trimer,-426.21736453
63,V51Zn3,surface,V,Zn,trimer,-419.55924664
64,V51Y3,surface,V,Y,trimer,-434.12179129
65,V51Zr3,surface,V,Zr,trimer,-440.42090936
