id,formula,calc_type,host,solute,solute_type,total_energy,num_sites,d_band_center,d_band_filling,d_band_width,bader_charges,nearest_neighbor_distance,mean_icohp,bonding_perc,cohesive_energy
1,Ru2,unitcell,Ru,None,None,-17.19358204,2,[-0.68796763 -0.68733905],[0.6220874  0.62200923],[3.81633554 3.81655074],[-0.000751  0.000751],2.674437767740411,-0.66,0.80349,6.007429739999999
2,Ta2,unitcell,Ta,None,None,-22.64632904,2,[1.54549658 1.54339985],[0.36487797 0.36508742],[2.81924427 2.81869569],[0. 0.],2.8951747398972536,-1.21,0.98499,7.499192440000001
3,Pd4,unitcell,Pd,None,None,-18.52795134,4,[-1.058866   -1.06257743 -1.06020758 -1.05928392],[0.82688376 0.82710209 0.82696472 0.82689767],[3.26042134 3.25278808 3.25777091 3.25914705],[0. 0. 0. 0.],2.811597558858604,-0.41,0.67674,3.127804825
4,Tc2,unitcell,Tc,None,None,-19.45245577,2,[0.47464028 0.47524278],[0.5254093  0.52532046],[4.23100788 4.23094217],[-0.000758  0.000758],2.7292580250257394,-1.18,0.8926,6.218335415
5,Re2,unitcell,Re,None,None,-23.56657222,2,[0.86710889 0.86403067],[0.48514843 0.48524365],[4.31782598 4.31343191],[-0.000762  0.000762],2.767094537172549,-1.35,0.91905,6.989772340000001
6,Ag4,unitcell,Ag,None,None,-8.79436838,4,[-3.37539559 -3.37399015 -3.37506841 -3.3752543 ],[0.94501774 0.94491901 0.9449979  0.94501597],[2.27539419 2.27942736 2.27646292 2.27613671],[ 4.4e-05  0.0e+00  0.0e+00 -4.5e-05],2.9817756473627783,-0.21,0.61407,2.006272475
7,Os2,unitcell,Os,None,None,-21.17849597,2,[-0.69363794 -0.69126995],[0.59043454 0.59034918],[4.25295668 4.25654612],[-0.00088   0.000879],2.709810015848241,-1.15,0.83966,7.594178364999999
8,V2,unitcell,V,None,None,-16.96277998,2,[2.24866416 2.24861946],[0.26152273 0.26152273],[3.51844016 3.51835829],[-0.000688  0.000688],2.6144398953876604,-0.82,1.0,4.855804170000001
9,Mo2,unitcell,Mo,None,None,-20.65027683,2,[2.2195334  2.21779327],[0.38396623 0.38400463],[5.91543103 5.91323083],[-0.000423  0.000423],2.7510425676924752,-1.1,0.87746,5.642402594999999
10,Cd2,unitcell,Cd,None,None,-0.71393597,2,[-7.33800746 -7.33777427],[0.92920113 0.92919121],[4.71432758 4.71484292],[-0.000191  0.000191],3.119,-1.25,0.9555,0.344792635
